Start Date,Minutes,Time of Action,String,Node
06/23/2025,2,04:53 PM,A,1
06/23/2025,2,04:53 PM,A,2
06/23/2025,2,04:53 PM,A,3
06/23/2025,2,04:53 PM,A,4
06/23/2025,2,04:53 PM,A,5
06/23/2025,2,04:53 PM,A,6
06/23/2025,2,04:28 PM,B,1
06/23/2025,2,04:28 PM,B,2
06/23/2025,2,04:28 PM,B,3
06/23/2025,2,04:28 PM,B,4
06/23/2025,2,04:28 PM,B,5
06/23/2025,2,04:28 PM,B,6
06/23/2025,2,02:55 PM,A,1
06/23/2025,2,02:55 PM,A,2
06/23/2025,2,02:55 PM,A,3
06/23/2025,2,02:55 PM,A,4
06/23/2025,2,02:55 PM,A,5
06/23/2025,2,02:55 PM,A,6
06/23/2025,1,02:50 PM,A,1
06/23/2025,1,02:50 PM,A,2
06/23/2025,1,02:50 PM,A,3
06/23/2025,1,02:50 PM,A,4
06/23/2025,1,02:50 PM,A,5
06/23/2025,1,02:50 PM,A,6
06/23/2025,1,02:44 PM,B,1
06/23/2025,1,02:44 PM,B,2
06/23/2025,1,02:44 PM,B,3
06/23/2025,1,02:44 PM,B,4
06/23/2025,1,02:44 PM,B,5
06/23/2025,1,02:44 PM,B,6
06/23/2025,1,02:39 PM,B,1
06/23/2025,1,02:39 PM,B,2
06/23/2025,1,02:39 PM,B,3
06/23/2025,1,02:39 PM,B,4
06/23/2025,1,02:39 PM,B,5
06/23/2025,1,02:39 PM,B,6
06/05/2025,2,02:25 PM,B,1
06/05/2025,2,02:25 PM,B,2
06/05/2025,2,02:25 PM,B,3
06/05/2025,2,02:25 PM,B,4
06/05/2025,2,02:25 PM,B,5
06/05/2025,2,02:25 PM,B,6
06/05/2025,1,02:22 PM,B,1
06/05/2025,1,02:22 PM,B,2
06/05/2025,1,02:22 PM,B,3
06/05/2025,1,02:22 PM,B,4
06/05/2025,1,02:22 PM,B,5
06/05/2025,1,02:22 PM,B,6
06/05/2025,1,02:20 PM,B,1
06/05/2025,1,02:20 PM,B,2
06/05/2025,1,02:20 PM,B,3
06/05/2025,1,02:20 PM,B,4
06/05/2025,1,02:20 PM,B,5
06/05/2025,1,02:20 PM,B,6
