Start Date,Hours,Time of Action,String,Node
04/03/2025,8,01:18 PM,B,1
04/03/2025,8,01:18 PM,B,4
04/03/2025,2,01:17 PM,B,4
04/03/2025,1,03:46 PM,B,3
04/03/2025,5,12:46 PM,B,2
04/03/2025,2,06:00 PM,B,5
04/03/2025,4,11:07 AM,B,1
04/03/2025,4,11:07 AM,B,2
04/03/2025,4,11:07 AM,B,3
04/03/2025,3,11:04 AM,A,6
04/03/2025,5,11:02 AM,B,2
04/03/2025,5,11:02 AM,B,5
04/03/2025,3,10:50 AM,A,1
04/03/2025,3,10:50 AM,A,2
04/03/2025,3,10:50 AM,A,3
04/03/2025,3,10:50 AM,A,4
04/03/2025,3,10:50 AM,A,5
04/03/2025,3,10:50 AM,A,6
04/03/2025,3,10:50 AM,A,2
04/03/2025,3,10:41 AM,B,1
04/03/2025,4,08:51 AM,A,1
04/03/2025,4,08:51 AM,A,3
04/03/2025,4,08:51 AM,A,4
04/03/2025,1,08:34 AM,B,2
